Nitawade-meter,Nitawade-cusecs,Balinge-meter,Balinge-cusecs,Shingnapur-meter,Shingnapur-cusecs,RB-Meter,RB-visarg-cusecs,Ichalkaranji-meter,Ichalkaranji-cusecs
541.9192211,14735,540.08,15521,538.4,15564,536.99,15627,542,14448
540.6976909,14542,539.47,15542,539,15559,536.99,15627,540,14595
541.1605415,14715,539.47,15408,540,15491,536.97,15527,540,14043
541.0439731,14783,539.47,15354,538.6,15439,536.97,15527,538.8333333,14057
540.5916057,14501,538.71,15248,538,15304,536.92,15329,537,14137
539.6375686,14218,537.95,15113,538.05,15206,536.89,15230,542.25,13781
539.6297528,14101,538.25,15066,538.5,15139,536.89,15230,541,14188
539.9350233,14500,538.4,15139,538.5,15157,536.89,15230,540.25,14049
541.0569807,14210,539.47,15110,538.2,15181,536.89,15230,540.5,14000
540.4966591,14522,538.86,15087,538.4,15122,536.86,15130,538.6666667,13851
539.8005004,13980,538.56,14976,538.7,15010,538.84,15031,543,13897
541.4613756,14326,539.47,14944,537.8,14994,536.84,15031,542,13967
541.6870544,14342,540.08,14853,538.5,14922,536.81,14932,541.5,13437
539.5771149,14140,538.25,14789,538,14877,536.81,14931,541.3333333,13545
540.8626326,14004,539.16,14745,538,14814,536.79,14832,540,13692
541.5289763,13931,540.08,14750,537.8,14767,536.79,14832,539,13578
540.0136514,14048,538.1,14623,538.05,14690,536.76,14733,538,13241
540.8363237,14045,538.86,14608,539.5,14644,536.76,14733,541,13339
539.8581165,13900,538.56,14512,538.1,14588,536.74,14639,540,13239
539.3329142,14038,537.95,14553,538,14629,536.74,14634,542,13343
539.6235017,13996,538.25,14558,539,14573,536.74,14634,541.75,13380
540.1356916,13667,538.86,14482,539.8,14544,536.74,14634,540,13299
541.0853629,13797,539.16,14536,538,14602,536.74,14633,541.5,13624
540.9863741,13922,539.47,14509,538.6,14514,536.71,14537,540.0833333,13247
539.6925479,13487,537.95,14359,538.5,14453,536.71,14534,539,13244
539.8217173,13734,537.95,14361,538,14400,536.69,14435,539,13244
540.2048037,13252,538.86,14252,539.5,14342,536.69,14435,539,13061
539.7720117,13347,538.1,14288,538,14322,536.66,14336,538.5,13132
540.0932281,13559,538.25,14180,537.8,14249,536.66,14335,538,12933
539.6578497,13322,537.95,14198,537.09,14199,536.64,14236,538,13064
540.8679335,13362,538.86,14000,537.5,14076,536.61,14137,540,12702
539.8570128,13079,537.95,13943,537.08,14004,536.59,14038,540,12641
540.3974751,13084,539.16,13951,537.02,13966,536.59,14038,540,12670
540.1183813,13137,538.71,14019,538.2,14025,535.59,14038,539.5,12723
541.0561893,13447,539.16,13982,540,14015,536.59,14038,539.1666667,13012
539.885902,12919,538.56,13885,539.9,13939,536.58,14038,538,12885
540.6791039,13080,538.71,13942,538.9,14023,536.59,14037,540.5,12891
540.0310152,12844,538.56,13794,537.7,13854,536.56,13901,539.3333333,12488
539.7851876,12843,538.56,13682,538,13693,536.53,13766,539.3333333,12399
539.8392985,12744,538.25,13557,537.7,13566,536.51,13630,539,12226
540.4307163,12628,538.56,13554,537.8,13588,536.59,13630,539.6666667,12548
540.7018821,12637,538.86,13369,537.08,13449,536.48,13494,539.5,12358
540.6201235,12402,538.86,13348,537.9,13406,536.48,13494,539,12098
540.6210384,12734,538.86,13238,539.5,13330,536.46,13358,538,11905
539.8346723,12430,538.56,13089,537.8,13166,536.43,13223,537,11975
539.6320087,12286,538.25,13187,537.7,13204,536.43,13223,541,11982
539.3480912,12357,537.79,13099,538,13127,536.43,13222,541,12091
541.8290097,12410,540.08,13139,537.7,13206,536.43,13222,540,11818
540.260522,12245,538.77,13168,537.8,13195,536.43,13222,538.5,12016
539.7901403,12250,537.79,13101,537.3,13181,536.43,13222,538,11953
540.2277056,12412,538.25,13147,537.7,13214,536.43,13222,538,12057
539.8541267,12287,538.25,13007,537.07,13023,536.41,13087,539,11669
539.5244671,12316,538.25,12993,537.09,13043,536.41,13087,539.25,11742
540.4099148,12144,538.86,12917,537.8,13010,536.41,13087,538,11997
539.376231,12066,537.64,12963,537.2,13008,536.41,13087,538,11941
540.2555165,12327,538.56,12981,538.1,13044,536.41,13087,538,11631
540.7710134,12357,539.16,12973,540,13013,536.41,13087,537.75,11985
540.6729297,11965,539.01,12781,538.5,12857,536.38,12951,539,11499
541.5577601,12008,539.77,12665,538,12738,536.36,12815,538.5,11491
540.1273271,12146,538.56,12795,537.2,12810,536.36,12815,539,11360
541.3523796,11967,540.08,12683,538.5,12759,536.36,12815,538,11451
539.8663507,11931,538.25,12649,537,12684,536.38,12751,538.5,11450
540.9366613,11432,539.16,12385,538.7,12456,536.33,12543,538,11099
541.3928277,11927,539.77,12474,538.1,12489,536.31,12543,540,11062
539.5104224,11696,538.1,12344,537.09,12371,536.28,12407,540,11281
540.4228123,11634,538.86,12289,537.9,12362,536.28,12407,538.5,11031
541.0569637,11719,539.62,12346,537.8,12381,536.28,12407,538.25,11016
540.7573103,11517,539.16,12265,537.7,12331,536.28,12407,538,10907
539.9629871,11453,538.56,12332,537.8,12381,536.28,12407,537.5,11071
541.5382679,11609,539.62,12211,537.9,12309,536.28,12407,537,11165
541.0061427,11435,539.77,12365,538.5,12399,536.28,12407,537,11293
540.6302251,11534,538.86,12290,538.7,12362,536.28,12407,536,10937
539.3070032,11477,537.64,12219,537.05,12249,536.26,12271,539,11024
538.7174832,11244,537.49,12182,537,12200,536.26,12271,538.5,10982
540.9417181,11282,539.16,12078,538.2,12105,536.53,12135,538,10866
531.6632489,11305,529.72,12116,537.08,12121,536.23,12135,537,10862
540.1585944,11443,538.25,12089,537,12111,536.23,12135,539,10809
539.0768555,11155,537.64,11843,537.5,11930,535.2,11999,538,10713
540.5752263,11165,538.86,11825,538.7,11925,536.2,11999,537.5,10608
540.3402725,11033,538.4,11722,537.8,11820,536.18,11864,537,10638
541.6128053,11131,539.77,11795,537.9,11832,536.18,11863,537,10789
541.1615978,10699,539.16,11652,537.7,11678,536.15,11728,539.5,10299
539.1922536,10791,537.95,11607,538,11687,536.15,11728,538.3333333,10386
539.4510731,10999,538.1,11626,537.2,11664,536.15,11727,536,10401
538.9133182,10680,537.64,11507,537.02,11575,536.13,11592,539.5,10276
540.9780617,10774,539.47,11404,537.09,11495,536.13,11592,539,10200
539.6407333,10757,538.25,11493,537.8,11520,536.13,11592,538.75,10409
539.9347958,10906,538.25,11493,537.5,11576,536.13,11591,538.3333333,10166
539.1480269,10755,537.64,11469,537.5,11550,536.13,11591,537.5,10161
539.6414939,10734,538.25,11326,537.8,11382,536.1,11456,537,10021
539.095901,10580,537.49,11248,537,11316,536.08,11320,541,10188
541.3660461,10365,540.08,11173,537.9,11222,536.08,11320,539.5,9979
539.5661705,10180,538.25,11015,538,11099,536.05,11184,539,10128
